날짜,영화관,영화명,상영관,상영시작시간
20220806,안양(안양역),한산,4관,0850
20220806,안양(안양역),한산,7관,0930
20220806,안양(안양역),한산,3관,1025
20220806,안양(안양역),한산,5관,1115
20220806,안양(안양역),한산,7관,1205
20220806,안양(안양역),한산,3관,1300
20220806,안양(안양역),한산,7관,1350
20220806,안양(안양역),한산,3관,1440
20220806,안양(안양역),한산,3관,1535
20220806,안양(안양역),한산,5관,1625
20220806,안양(안양역),한산,7관,1715
20220806,안양(안양역),한산,3관,1810
20220806,안양(안양역),한산,5관,1900
20220806,안양(안양역),한산,7관,1950
20220806,안양(안양역),한산,3관,2045
20220806,안양(안양역),한산,5관,2135
20220806,안양(안양역),한산,7관,2225
20220806,안양(안양역),한산,3관,2320
20220806,안양(안양역),한산,5관,2410
20220806,안양(안양역),한산,1관,2515
20220806,안양(안양역),비상선언,1관,0845
20220806,안양(안양역),비상선언,6관,0950
20220806,안양(안양역),비상선언,1관,1130
20220806,안양(안양역),비상선언,2관,1320
20220806,안양(안양역),비상선언,1관,1415
20220806,안양(안양역),비상선언,6관,1510
20220806,안양(안양역),비상선언,2관,1605
20220806,안양(안양역),비상선언,1관,1700
20220806,안양(안양역),비상선언,6관,1755
20220806,안양(안양역),비상선언,2관,1850
20220806,안양(안양역),비상선언,1관,1945
20220806,안양(안양역),비상선언,6관,2040
20220806,안양(안양역),비상선언,2관,2135
20220806,안양(안양역),비상선언,1관,2230
20220806,안양(안양역),비상선언,6관,2325
20220806,안양(안양역),비상선언,2관,2420
20220806,안양(안양역),비상선언,7관,2505
20220806,안양(안양역),탑건:매버릭,2관,0910
20220806,안양(안양역),탑건:매버릭,6관,1235
20220806,안양(안양역),탑건:매버릭,4관,1905
20220806,안양(안양역),탑건:매버릭,4관,2425
20220806,안양(안양역),미니언즈2,5관,0920
20220806,안양(안양역),미니언즈2,4관,1125
20220806,안양(안양역),미니언즈2,4관,1455
20220806,안양(안양역),뽀로로 극장판 드래곤캐슬 대모험,3관,0850
20220806,안양(안양역),뽀로로 극장판 드래곤캐슬 대모험,2관,1145
20220806,안양(안양역),뽀로로 극장판 드래곤캐슬 대모험,4관,1320
20220806,안양(안양역),외계+인 1부,4관,2140
20220806,안양(안양역),극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,4관,1650
